,,,,,,,,,,,,,,,,,,,,Before Integration,,,,,,After Integration,,,,,,
Current MS Compounds,ESI Mode,Molecular Formula,CAS,Pathways,Expected RT,Peak Rating,Notes,,,Integration Notes,Gaussian smooth width (points):,Expected RT (min):,RT Half Window (sec):,Min. Peak Width (points):,Min. Peak Height:,Noise Percentage (%):,Baseline Sub. Window (min):,Peak Splitting (points):,,Peak Shape,Baseline,Interference,Retention Shift,Qc Action,,Peak Shape,Baseline,Interference,Retention Shift,Qc Action,,
Folic Acid,POS,C19H19N7O6,59-30-3,One carbon pool by folate; Folate biosynthesis; Biosynthgesis of phenylpropanoids,8.40,Okay,Thin peak seen in some tissue samples. Noisy baseline,#VALUE!,#VALUE!,Inadequate qc,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Vitamin K1,POS,C31H46O2,84-80-0,"Ubiquinone, other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites; Vitamin digestion, absorption",9.15,Okay,Tall peak seen in a few tissue samples. Baseline a little noisy,#VALUE!,#VALUE!,Inadequate qc,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Biliverdin,POS,C33H34N4O6,114-25-0,"Porphyrin, chlorophyll metabolism; Biosynthesis of secondary metabolites",2.85,Good,"Tall, dual peaks seen in most samples and QC(I)",,,Double peaks,5,3.9,30,3,2000,50,1,100,,Tailing,Stable,Co-eluting,None,Accept,,Clean,Stable,None,None,Accept,,
PAF C-16,POS,C26H54NO7P,74389-68-7,Ether Lipid Metabolism; Inflammatory pathways,1.95,Good,Broad peak seen in most samples and QC(I). Smaller peak(s) usually visible to its right,,,Double peaks?,1.7,2,30,3,4.50E+05,50,0.5,24,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
NAD,POS,C21H28N7O14P2,53-84-9,"Oxidative phosphorylation; Thiamine metabolism; Nicotinate, nicotinamide metabolism; Drug metabolism - other enzymes",9.05,Good,"Small, thin peak usually seen in tissue samples. Baseline usually noisy",#VALUE!,#VALUE!,Inadequate qc,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Methylcobalamin,POS,C63H91CoN13O14P,13422-55-4,NA,7.95,Good,Small peak seen in a few tissue samples. Baseline usually noisy,#VALUE!,#VALUE!,Inadequate qc,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Cyanocobalamin (Vitamin B12),POS,C62H88CoN13O14PR,68-19-9,"Porphyrin, chlorophyll metabolism",8.25,Okay,Tall peak rarely seen in tissue samples. Noisy baseline,#VALUE!,#VALUE!,Noisy,1.7,8.31,30,3,5000,50,0.5,9,,,Noisy,,,,,,Noisy,,,,,
NADPH,POS,C21H30N7O17P3,53-57-6,"Photosynthesis; Glutathione metabolism; Thyroid hormone synthesis; Aldosterone synthesis, secretion",9.35,Okay,Tall peak seen usually in tissue samples. Baseline very noisy,#VALUE!,#VALUE!,Not present in qc,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
Thyroxine,POS,C15H11I4NO4,51-48-9,Tyrosine metabolism; Neuroactive ligand-receptor interaction; Thyroid hormone synthesis; Thyroid hormone signaling pathway,N/A,N/A,Never seen in samples,#VALUE!,#VALUE!,Not present in sample,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
FAD,POS,C27H33N9O15P2,146-14-5,"Riboflavin metabolism; Biosynthesis of secondary metabolites; Vitamin digestion, absorption",8.80,Good,"Tall, thin peak seen in most samples and QC(I)",,,Simple peak,1.7,8.96,30,3,1500,50,0.5,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Adenosylcobalamin,POS,C72H100CoN18O17P,13870-90-1,"Porphyrin, chlorophyll metabolism",N/A,N/A,Never seen in samples,#VALUE!,#VALUE!,Not present in sample,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Ubiquinol,POS,C59H90O4,5677-55-4,Ferroptosis,N/A,N/A,Never seen in samples,#VALUE!,#VALUE!,Not present in sample,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
MalonylCoA (+2),POS,C24H38N7O19P3S,524-14-1,Pyruvate metabolism; Propanoate metabolism; Fatty Acid Biosynthesis; Leigh Syndrome; Pyruvate Decarboxylase E1 Component Deficiency; Primary hyperoxaluria II; Pyruvate Dehydrogenase Complex Deficiency; Pyruvate kinase deficiency,9.20,Okay,Tall peak seen in some samples. Noisy baseline,#VALUE!,#VALUE!,Inadequate qc,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
MalonylCoA (+1),POS,C24H38N7O19P3S,524-14-1,Pyruvate metabolism; Propanoate metabolism; Fatty Acid Biosynthesis; Leigh Syndrome; Pyruvate Decarboxylase E1 Component Deficiency; Primary hyperoxaluria II; Pyruvate Dehydrogenase Complex Deficiency; Pyruvate kinase deficiency,8.75,Okay,Tall peak rarely seen in samples. Noisy baseline,#VALUE!,#VALUE!,Inadequate qc,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Malondialdehyde,NEG,C3H4O2,542-78-9,"Lipid, Fatty acid, Arachidonic metabolism; PG and TX synthesis",3.20,Bad,"Small, broad peak rarely seen in some tissue samples. Usually very noisy",#VALUE!,#VALUE!,,,,,,,,,,,Tailing,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
Glycolic acid,NEG,C2H4O3,79-14-1,Photorespiration,N/A,N/A,Have not seen in samples.  ,#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
Pyruvate,NEG,C3H4O3,127-17-3,"Glycolysis, gluconeogenesis; TCA Cyle; Branched chain amino acid biosynthesis",3.00,Good,"Tall, broad peak seen in many samples. Baseline usually noisy",#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
Lactate,NEG,C3H6O3,79-33-4,"Glycolysis, gluconeogenesis; Fructose, mannose metabolism; Pyruvate metabolism; Propanoate metabolism",4.50,Great,Simples peak seen in nearly all samples. Make sure full area is integrated,#VALUE!,#VALUE!,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Glyceraldehyde,NEG,C3H6O3,56-82-6,"Pentose phosphate pathway; Fructose, mannose metabolism; Galactose metabolism; Glycerolipid metabolism",6.50,Okay,"Tall, broad peak seen in some samples and QC(I). Small peak attached to its left.",,,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
3-Hydroxypropionic Acid,NEG,C3H6O3,503-66-2,Pyrimidine metabolism; beta-Alanine metabolism; Propanoate metabolism; Carbon fixation pathways in prokaryotes,N/A,N/A,Have not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
3C13-Lactate,,,,,,,,,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid,NEG,C5H10O2/C4H6O3/C4H6O3,503-74-2/692-29-5/541-50-4,"Biosynthesis of alkaloids derived from histidine, purine; Biosynthesis of secondary metabolites; Protein digestion, absorption",2.15,Bad,Average looking peak seen in some samples. Baseline very noisy,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
2-Oxobutyrate,NEG,C4H6O3,600-18-0,"Glycine, serine, threonine metabolism; Cysteine, methionine metabolism; Branched chain amino acid biosynthesis; Propanoate metabolism",2.50,Bad,"Short, broad peak rarely seen in tissue samples. Very noisy and unstable",#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
gamma-Aminobutyrate,NEG,C4H9NO2,56-12-2,"Alanine, aspartate, glutamate metabolism; Arginine, proline metabolism; beta-Alanine metabolism; Butanoate metabolism",8.50,Good,"Tall, thin peak seen in most samples and QC(I). ",,,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Malonic Acid,NEG,C3H4O4,141-82-2,Fatty acid biosynthesis; Pyrimidine metabolism; beta-Alanine metabolism; Fatty acid metabolism,N/A,N/A,Not seen in samples. Visible peak is from 3HBA,#VALUE!,#VALUE!,,n,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
3HBA,NEG,C4H8O3,300-85-6,"Synthesis, degradation of ketone bodies; Butanoate metabolism; cAMP signaling pathway",3.20,Great,"Tall, thin peak seen in most samples and QC(I)",,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
2-Hydroxyisobutyrate/2-Hydroxybutyrate,NEG,C4H8O3,594-61-4,NA,3.45,Good,Tall peak seen in most samples and QC(I). Baseline a bit noisy,,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Glycerate,NEG,C3H6O4,473-81-4,"Pentose phosphate pathway; Glycine, serine, threonine metabolism; Glycerolipid metabolism; Glyoxylate, dicarboxylate metabolism",6.70,Bad,"Short, broad peak seen in a few samples.Many nearby peaks makes it hard to integrate",#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
4C13-3HBA,,,,,,,,,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Uracil,NEG,C4H4N2O2,66-22-8,"Pyrimidine metabolsim; beta-Alanine metabolism; Pantothenate, CoA biosynthesis",2.10,Okay,Tall peak seen in most samples and QC(I). Noisy baseline,,,,,,,,,,,,,,Noisy,,,,,Noisy,,,,,,
Fumaric Acid,NEG,C4H4O4,110-17-8,"TCA cycle; Oxidative phosphorylation; Arginine biosynthesis; Alanine, aspartate, glutamate metabolism",N/A,N/A,Danijel advised not to integrate. If you think there's a peak ask Danijel ,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,Noisy,,,,,,
Maleic Acid,NEG,C4H4O4,110-16-7,"Tyrosine metabolism; Butanoate metabolism; Nicotinate, nicotinamide metabolism; Microbial metabolism",1.55,Bad,"Small, thin peak seen in some samples and QC(I). Very noisy signal",,,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
N-AcetylGlycine,NEG,C4H7NO3,543-24-8,NA,5.90,Okay,"Tall, thin peak seen in most samples and QC(I). Small peak to its left that is sometimes attached",,,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Guanidinoacetate,NEG,C3H7N3O2,352-97-6,"Glycine, serine, threonine metabolism; Arginine, proline metabolism ",7.50,Good,Tall thin peak seen most samples and QC(I). Baseline fairly noisy.,,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
2-Hydroxyisovaleric Acid,NEG,C5H10O3,4026-18-0,Lipid metabolism; Lipid transport; Fatty acid metabolism; Cell signaling; Lipid peroxidation,`--,`--,Has been measured in a couple past studies that I was not involved in�,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Succinate,NEG,C4H6O4,110-15-6,"TCA cycle; Oxidative phosphorylation; Arginine biosynthesis; Alanine, aspartate, glutamate metabolism",5.10,Great,"Tall, thin peak seen in most samples and QC(I).",,,,,,,,,,,,,Clean,Stable,Co-eluting,None,Accept,,Clean,Stable,None,None,Accept,,
Methylmalonate,NEG,C4H6O4,516-05-2,Pyrimidine metabolism; Branched chain amino acid degradation; Propanoate metabolism,2.65,Okay,Tall peak seen in some tissue samples. Baseline usually noisy with other peaks nearby,#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
3-Hydroxyisovaleric Acid,NEG,C5H10O3,625-08-1,Branched chain amino acid degradation,2.55,Good,Tall peak seen in most samples and QC(I). Baseline a bit noisy,,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Erythrose,NEG,C4H8O4,1758-51-6,N/A,N/A,N/A,Have not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Threitol,NEG,C4H10O4,2418-52-2,D-threitol degradation,3.40,Bad,Thin peak seen in a few samples. Very noisy signal,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Nicotinic Acid,NEG,C6H5NO2,59-67-6,"Nicotinate, nicotinamide metabolism; Tropane, piperidine, pyridine alkaoid biosynthesis",4.60,Good,Broad peak seen in some tissue samples. Ease of integration depends on concentration,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Picolinic Acid,NEG,C6H5NO2,98-98-6,Tryptophan metabolism,4.65,Good,"Tall, thin peak seen in a few tissue samples. Baseline fairly noisy",#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Thymine,NEG,C5H6N2O2,65-71-4,Pyrimidine metabolism,1.85,Okay,"Tall, dual peaks seen in some tissue samples. Baseline fairly noisy",#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Citraconic Acid,NEG,C5H6O4,498-23-7,Branched chain amino acid biosynthesis; C5-Branched dibasic acid metabolism; 2-Oxocarboxylic acid metabolism,1.60,Okay,Tall peak seen in most samples and QC(I). Baseline usually noisy.,,,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
2-oxo-Isocaproic Acid,NEG,C6H10O3,816-66-0,"Branched chain amino acid Degradation, Biosynthesis; Glucosinolate biosynthesis",7.85,Bad,Tiny peak seen in a few samples. Usually attached to other peaks/noise. (honestly probably should not integrate),#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Itaconic Acid,NEG,C5H6O4,97-65-4,C5-Branched dibasic acid metabolism,3.25,Okay,Thin peak seen in a few samples. Has a tall peak to its left and baseline usually noisy,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
N-Ac-Alanine,NEG,C5H9NO3,97-69-8,Prostate cancer,5.40,Great,"Tall, thin peak seen in most samples and QC(I)",,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
MethylSuccinate,NEG,C5H8O4,498-21-5,Lipid metabolism; Lipid transport; Fatty acid metabolism; Ethylmalonic encephalopathy; Lipid peroxidation,2.90,Good,"Tall, broad peak seen in some tissue samples. Baseline a bit noisy",#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
D-Leucic Acid,NEG,C6H12O3,20312-37-2,Lipid metabolism; Lipid transport; Fatty acid metabolism; Cell signaling; Lipid peroxidation,2.30,Good,"Tall, broad peak seen in most samples and QC(I). Baseline usually a bit noisy",,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
2-Hydroxycaproic Acid,NEG,C6H12O3,6064-63-7,Cardiomyocyte metabolism,N/A,N/A,Have not seen in samples. Visible peak is D-Leucic Acid,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Glutaric Acid,NEG,C5H8O4,110-94-1,Fatty acid degradation; Lysine degradation; Microbial metabolism,5.75,Okay,Thin peak seen in some samples and *usually* seen in QC(I). Signal usually very noisy,,,,,,,,,,,,,Taling,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
Oxalacetate,NEG,C4H4O5,328-42-7,"Glycolysis, gluconeogenesis; TCA Cycle; Alanine, aspartate, glutamate metabolism",8.50,Okay,Thin peak seen in some samples and *usually* seen in QC(I). Signal usually very noisy,,,,,,,,,,,,,Shoulder,Noisy,Co-eluting,None,Accept,,Clean,Noisy,None,None,Accept,,
Ethylmalonic acid,NEG,C5H8O4,601-75-2,Lipid metabolism; Lipid transport; Fatty acid metabolism; Ethylmalonic encephalopathy; Lipid peroxidation,2.10,Okay,Tall peak with another peak attached to its right. Seen in most samples and QC(I). Noisy baseline,,,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
N-Carbamoyl-B-Alanine,NEG,C4H8N2O3,462-88-4,"Pyrimidine metabolism; beta-Alanine metabolism; Pantothenate, CoA biosynthesis",5.80,Good,"Small, thin peak seen in most samples and QC(I). Noisy baseline",,,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Malate,NEG,C4H6O5,97-67-6,"TCA cycle; Pyruvate metabolsim; Glyoxylate, dicarboxylate metabolism; Methane metabolism",7.75,Bad,Peak seen in some samples that's usually attached to other peaks making it tought to integrate,#VALUE!,#VALUE!,,,,,,,,,,,Tailing,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
Adenine,NEG,C5H5N5,73-24-5,Purine metabolism; Zeatin biosynthesis,3.00,Good,"Tall, broad peak seen in most tissue samples. Baseline can be a bit noisy",#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
Allopurinol,NEG,C5H4N4O,315-30-0,Purine metabolism; Peroxisome,2.15,Okay,Broad peak rarely seen in serum samples.,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Hypoxanthine,NEG,C5H4N4O,68-94-0,Purine metabolism,3.20,Great,Tall peak seen in most samples and QC(I),,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Phenylacetic Acid,NEG,C8H8O2,103-82-2,Phenylalanine metabolism; Styrene degradation; Microbial metabolism,1.60,Okay,Tall thin peak seen in some samples and QC(I). To the right of another peak. Baseline usually very noisy,,,,,,,,,,,,,Shoulder,Noisy,Co-eluting,None,Accept,,Clean,Noisy,None,None,Accept,,
Erythronic/Threonic Acid,NEG,C4H8O5,13752-84-6,"Ascorbate, aldarate metabolism",7.30,Okay,Small peak seen in some samples and in *some* QC(I). Has another peak attached to its left. Baseline usually noisy,,,,,,,,,,,,,Shoulder,Stable,Co-eluting,None,Accept,,Clean,Stable,None,None,Accept,,
Anthranilic Acid,NEG,C7H7NO2,118-92-3,"Tryptophan metabolsim; Phenylalanine, tyrosine, tryptophan biosynthesis; Phenazine biosynthesis",1.60,Good,Broad peak seen in some samples.  ,#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
4-Hydroxybenzoic Acid,NEG,C7H6O3,99-96-7,"Ubiquinone, other terpenoid-quinone biosynthesis; Benzoate degradation; Bisphenol degration; Toluene degradation; Aminobenzoate degradation",1.60,Good,"Tall, thin peak seen in many samples and QC(I). Baseline a little noisy",,,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
Acetylphosphate,NEG,C2H5O5P,590-54-5,"Taurine, hypotaurine metabolism; Pyruvate metabolism; Methane metabolism",8.55,Good,Tall peak seen in most tissue samples. In the center of several other peaks.,#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Noisy,Co-eluting,None,Accept,,Clean,Noisy,None,None,Accept,,
4N15-Hypoxanthine,,,,,,,,,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
o-Phosphoethanolamine,NEG,C2H8NO4P,1071-23-4,Glycerophospholipid metabolsim; Sphingolipid metabolsim; Cationic antimicrobial peptide (CAMP) resistance; Sphingolipid signaling pathway,8.75,Good,Tall peak seen in some tissue samples. RT often shifts a lot between studies.,#VALUE!,#VALUE!,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
n-isoButyrylglycine,NEG,C6H11NO3,15926-18-8,Ethylmalonic encephalopathy,4.20,Okay,Dual/broad peak seen in some samples. Baseline often noisy,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Adipic Acid / 3-Methylglutaric Acid,NEG,C6H10O4,124-04-9/626-51-7,Caprolactam degradation; Microbial metabolsim; Degradation of aromatic compounds,4.05,Good,"Small, broad peak seen in some samples. 2-methylglutaric acid peak to the right of it",#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Alpha-Ketoglutaric Acid,NEG,C5H6O5,328-50-7,"TCA Cycle; Pentose, glucuronate interconversions; Ascorbate, aldarate metabolsim; Arginine biosynthesis",7.15,Okay,Thin peak seen in most samples and QC(I). Usually surrounded by other peaks. Noisy baseline ,,,,,,,,,,,,,Tailing,Stable,Co-eluting,None,Accept,,Clean,Stable,None,None,Accept,,
2-Methylglutaric Acid,NEG,C6H10O4,617-62-9,Lipid metabolism; Lipid transport; Fatty acid metabolism; Cell signaling; Lipid peroxidation,4.40,Good,"Large, broad peak seen in some samples. Adipic Acid peak to the left of it.",#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Mevalonate,NEG,C6H12O4,150-97-0,"Terpenoid backbone biosynthesis; Biosynthesis of plant secondary metabolites; Biosynthesis of terpenoids, steroids; Biosynthesis of plant hormones",N/A,N/A,Have not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
N-Acetylserine,NEG,C5H9NO4,16354-58-8,N/A,6.50,Okay,Thin peak seen in most tissue samples. Usually attached to the left of a large peak.,#VALUE!,#VALUE!,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
2-Hydroxyglutarate,NEG,C5H8O5,2889-31-8,Butanoate metabolism; C5-Branched dibasic acid metabolism,7.65,Okay,Small peak seen in most samples and QC(I). Usually in the center of a group of three peaks that are to the left of a large peak.,,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Citramalic Acid,NEG,C5H8O5,597-44-4,Lipid metabolism; Lipid transport; Fatty acid metabolism; Lipid peroxidation,N/A,N/A,Have not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
L-Tartaric Acid,NEG,C4H6O6,87-69-4,"Glyoxylate, dicarboxylate metabolism",9.15,Okay,Tall peak seen in a few samples. Baseline usually a bit noisy,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Xylose,NEG,C5H10O5,58-86-6,"Pentose, glucuronate interconversions; Amino sugar, nucleotide sugar metabolism; ABC Transporters",N/A,N/A,Have not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
alpha-Ketophenylacetic Acid,NEG,C8H6O3,611-73-4,Phenylalanine metabolism; Aminobenzoate degradation; Microbial metabolism,N/A,N/A,Have not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Hydrocinnamic Acid,NEG,C9H10O2,501-52-0,Phenylalanine metabolism; Meabolic pathways; Microbial metabolism; Degradation of aromatic compounds,1.50,Okay,"Tall, thin peak seen in many samples and QC(I). Can often have a noisy baseline",,,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
Oxypurinol,NEG,C5H4N4O2,2465-59-0,N/A,N/A,N/A,Have not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Xanthine,NEG,C5H4N4O2,69-89-6,"Purine metabolism; Caffeine metabolism; Biosynthesis of plant secondary metbolites; Biosynthesis of alkaloids derived from histidine, purine; Biosynthesis of secondary metabolites; Microbial metabolism",4.00,Great,"Tall, broad peak seen in most samples and QC(I).  ",,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
2-Hydroxyphenylacetate,NEG,C8H8O3,611-71-2,Aminobenzoate degradation; Microbial metabolism,1.60,Bad,Tall peak seen in most samples and QC(I). Baseline usually very noisy and with other peaks attached.,,,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
L-Mandelic Acid,NEG,C8H8O3,90-64-2,Aminobenzoate degradation; Microbial metabolism,2.70,Bad,"Short, broad peak seen in a few samples.  ",#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Arabitol/Xylitol,NEG,C5H12O5,488-82-4,"Pentose, glucuronate interconversions",4.95,Good,Tall peak seen in many samples and QC(I). Has some small peaks attached to the left side,,,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
3/4-Hydroxyphenylacetic Acid,NEG,C8H8O3,621-37-4/N/A,Tyrosine metabolism; Phenylalanine metabolism; Styrene degradation; Microbial metabolism,2.05,Okay,"Tall, broad peak seen in a few samples. ",#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
3-Hydroxyanthranilic Acid,NEG,C7H7NO3,548-93-6,Tryptophan metabolism; Aminobenzoate degradation; Microbial metabolism,2.25,Bad,Broad peak seen in a few samples. Baseline fairly noisy,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Dopamine,NEG,C8H11NO2,62-31-7,Tyrosine metabolism,N/A,N/A,Have not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
2N15-Xanthine,,,,,,,,,,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
3-Sulfinoanaline,NEG,C3H7NO4S,1115-65-7,"Cysteine, methionine metabolism; Taurine, hypotaurine metabolism",8.60,Great,Tall peak rarely seen in tissue samples.,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
"2,3-Dihydroxybenzoic Acid",NEG,C7H6O4,303-38-8,Benzoate degradation; Aminobenzoate degradation; Biosynthesis of siderophore group nonribosomal peptides; Biosynthesis of phenylpropanoids; Biosynthesis of secondary metbolites; Microbial metabolism,1.30,Good,"Tall, thin peak seen in many samples and QC(I). Baseline a bit noisy",,,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Gentisate,NEG,C7H6O4,490-79-9,Tyrosine metabolism; Benzoate degradation; Naphalene degradation; Microbial metabolism,2.25,Bad,Broad peak seen in some samples. Peak usually not stable.,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Orotate,NEG,C5H4N2O4,65-86-1,Pyrimidine metabolism,5.70,Bad,"Tall, thin peak seen in many samples and QC(I). Very noisy baseline",,,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
Allantoin,NEG,C4H6N4O3,97-59-6,Purine catabolism,4.00,Good,Tall broad peak seen in most samples and QC(I).,,,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
n-isoValerylglycine,NEG,C7H13NO3,16284-60-9,Ethylmalonic encephalopathy,3.40,Good,Small peak seen in some samples and QC(I). Baseline a bit noisy,,,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
2-Aminoadipate,NEG,C4H6N4O3,542-32-5,"Lysine biosynthesis; Lysine degradation; Penicillin, cephalosporin biosynthesis",8.40,Okay,Thin peak seen in many samples and QC(I). Baseline very noisy,,,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Indole-3-Carboxylic Acid,NEG,C9H7NO2,771-50-6,N/A,1.50,Bad,Short thin peak seen in samples and QC(I). Baseline incredibly noisy,,,,,,,,,,,,,Tailing,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
